title,price,sale,volume,savings,link
Gibson's Finest Rare 12 Year Old Whisky,$41.45,,1140 mL,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871
Hiram Walker Special Old Rye Whisky,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/hiram-walker-special-old-rye-whisky/226316
Johnnie Walker Black Label,$17.95,,200 mL,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217836
Bell's Scotch,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/bell-s-scotch/217042
Catto's Rare Old,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/catto-s-rare-old/215558
Dalwhinnie 15 Years Old Scotch Whisky,$94.95,,750 mL,,http://www.lcbo.com/lcbo/product/dalwhinnie-15-years-old-scotch-whisky/238097
Johnnie Walker Red Label,$206.95,,4500 mL,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217638
J & B Rare,$39.75,,1140 mL,,http://www.lcbo.com/lcbo/product/j-b-rare/217646
Johnnie Walker Red Label,$42.95,On sale!,1140 mL,$2.00,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217794
The Glenlivet 12 Year Old Single Malt,$30.95,,375 mL,,http://www.lcbo.com/lcbo/product/the-glenlivet-12-year-old-single-malt/266155
Glenfiddich Distillers Edition 15YO,$86.95,,750 mL,,http://www.lcbo.com/lcbo/product/glenfiddich-distillers-edition-15yo/291773
Knob Creek Single Barrel,$56.95,,750 mL,,http://www.lcbo.com/lcbo/product/knob-creek-single-barrel/255232
Seagrams V.O. Whisky,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978
Revel Stoke Spiced Whisky,$27.45,,750 mL,,http://www.lcbo.com/lcbo/product/revel-stoke-spiced-whisky/254995
Jim Beam White Label Bourbon,$39.95,,1140 mL,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786
Golden Wedding Whisky,$38.35,,1140 mL,,http://www.lcbo.com/lcbo/product/golden-wedding-whisky/217083
Wisers Special Blend,$38.75,,1140 mL,,http://www.lcbo.com/lcbo/product/wisers-special-blend/216671
Jack Daniel's Tennessee Whiskey,$44.95,,1140 mL,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616
Gibson's Finest Rare 12 Year Old Whisky,$16.95,,375 mL,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667
Collingwood,$31.95,On sale!,750 mL,$3.00,http://www.lcbo.com/lcbo/product/collingwood/244186
Spicebox Canadian Spiced Whisky,$27.95,,750 mL,,http://www.lcbo.com/lcbo/product/spicebox-canadian-spiced-whisky/258954
Four Roses Bourbon,$27.45,,750 mL,,http://www.lcbo.com/lcbo/product/four-roses-bourbon/256222
