title,alcohol,volume,savings,%,price,link
Islay Mist Scotch 8 Year Old Scotch Whisky,40.00%,750 mL ,,$33.50,,http://www.lcbo.com/lcbo/product/islay-mist-scotch-8-year-old-scotch-whisky/333070
Cardhu Single Malt Scotch,40.00%,750 mL ,,$73.85,,http://www.lcbo.com/lcbo/product/cardhu-single-malt-scotch/289496
Rittenhouse Straight Rye Whisky 100 Bond,50.00%,750 mL ,,$46.85,,http://www.lcbo.com/lcbo/product/rittenhouse-straight-rye-whisky-100-bond/230813
Chivas Regal 12 Year Old Scotch Whisky,40.00%,750 mL ,,$53.45,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/7617
The Macallan Amber,40.00%,750 mL ,,$108.35,,http://www.lcbo.com/lcbo/product/the-macallan-amber/334078
Dillon's The White Rye,40.00%,750 mL ,,$38.10,,http://www.lcbo.com/lcbo/product/dillon-s-the-white-rye/337600
Glen Breton Rare Canadian Single Malt Whisky,43.00%,750 mL ,,$79.45,,http://www.lcbo.com/lcbo/product/glen-breton-rare-canadian-single-malt-whisky/601146
Bowmore 12 Year Old Islay Single Malt,40.00%,750 mL ,,$62.65,,http://www.lcbo.com/lcbo/product/bowmore-12-year-old-islay-single-malt/330803
Gibson's Finest Sterling Edition Whisky,40.00%,1140 mL ,,$41.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215889
Aberfeldy 12 Year Old,40.00%,750 mL ,,$60.70,,http://www.lcbo.com/lcbo/product/aberfeldy-12-year-old/255281
Dewar's White Label,40.00%,1140 mL ,,$40.60,,http://www.lcbo.com/lcbo/product/dewar-s-white-label/217992
Talisker 10 Years Old Single Malt Scotch Whisky,45.80%,750 mL ,,$98.15,,http://www.lcbo.com/lcbo/product/talisker-10-years-old-single-malt-scotch-whisky/249680
Seagrams 83 Whisky,40.00%,750 mL ,,$26.70,,http://www.lcbo.com/lcbo/product/seagrams-83-whisky/305607
Johnnie Walker 18 YO,40.00%,750 mL ,,$146.70,,http://www.lcbo.com/lcbo/product/johnnie-walker-18-yo/292805
Jack Daniel's Tennessee Whiskey,40.00%,750 mL ,,$35.20,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/41384
Glenmorangie Original Single Malt Scotch Whisky,40.00%,750 mL ,,$72.35,,http://www.lcbo.com/lcbo/product/glenmorangie-original-single-malt-scotch-whisky/298638
Canadian Club Reserve,40.00%,750 mL ,,$29.15,,http://www.lcbo.com/lcbo/product/canadian-club-reserve/311977
The Glenlivet 18 Year Old Single Malt Scotch Whisky,43.10%,750 mL ,,$175.85,,http://www.lcbo.com/lcbo/product/the-glenlivet-18-year-old-single-malt-scotch-whisky/335901
Ballantine's Blended Scotch Whisky,40.00%,375 mL ,,$15.35,,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/5041
Lagavulin 16 Year Old Malt Scotch Whisky,42.90%,750 mL ,,$122.45,,http://www.lcbo.com/lcbo/product/lagavulin-16-year-old-malt-scotch-whisky/207126
Gibson's Finest Rare 12 Year Old Whisky,40.00%,750 mL ,,$33.45,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/3558
Devil's Cut,45.00%,750 mL ,,$30.35,,http://www.lcbo.com/lcbo/product/devil-s-cut/272161
Canadian Club Classic 12 Year Old,40.00%,1140 mL ,,$42.70,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311936
Forty Creek Copper Pot Reserve Whisky,43.00%,1140 mL ,,$42.95,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/350207
The Macallan Gold,40.00%,750 mL ,,$74.30,,http://www.lcbo.com/lcbo/product/the-macallan-gold/334060
Basil Hayden Kentucky Bourbon,40.00%,750 mL ,,$53.65,,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/326025
Crown Royal Black,45.00%,1140 mL ,,$44.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/276618
Baker's Kentucky Straight Bourbon Whiskey,53.50%,750 mL ,,$69.25,,http://www.lcbo.com/lcbo/product/baker-s-kentucky-straight-bourbon-whiskey/253658
Johnnie Walker Black Label,40.00%,1140 mL ,,$79.20,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217802
Gibson's Finest Rare 12 Year Old Whisky,40.00%,1140 mL ,,$46.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871
Grand Macnish,40.00%,1140 mL ,,$41.15,,http://www.lcbo.com/lcbo/product/grand-macnish/217190
Jim Beam White Label Bourbon,40.00%,1140 mL ,,$40.65,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786
Hiram Walker Special Old Rye Whisky,40.00%,1140 mL ,,$40.10,,http://www.lcbo.com/lcbo/product/hiram-walker-special-old-rye-whisky/226316
McClelland's Single Malt Highland Scotch,40.00%,750 mL ,,$45.45,,http://www.lcbo.com/lcbo/product/mcclelland-s-single-malt-highland-scotch/259333
Johnnie Walker Red Label,40.00%,1140 mL ,,$45.20,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217794
Collingwood,40.00%,750 mL ,,$36.40,,http://www.lcbo.com/lcbo/product/collingwood/244186
