title,alcohol,volume,sale,savings,price,inventory,link
Stalk & Barrel Single Malt Whisky,46.0%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/stalk-barrel-single-malt-whisky/382770
Elijah Craig Small Batch Bourbon Whiskey,47.0%,750 mL ,,,$47.95,,http://www.lcbo.com/lcbo/product/elijah-craig-small-batch-bourbon-whiskey/547729
Maker's Mark 46,46.4%,750 mL ,,,$64.95,,http://www.lcbo.com/lcbo/product/maker-s-mark-46/225565
The Glenlivet 18 Year Old Single Malt Scotch Whisky,43.1%,750 mL ,,,$179.95,,http://www.lcbo.com/lcbo/product/the-glenlivet-18-year-old-single-malt-scotch-whisky/335901
Johnnie Walker Gold Reserve,40.0%,750 mL ,,,$84.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-gold-reserve/291278
Glendronach 12 Year Old Single Highland Malt Scotch Whisky,43.0%,750 mL ,,,$77.70,,http://www.lcbo.com/lcbo/product/glendronach-12-year-old-single-highland-malt-scotch-whisky/601872
Islay Mist Scotch 8 Year Old Scotch Whisky,40.0%,750 mL ,,,$31.95,,http://www.lcbo.com/lcbo/product/islay-mist-scotch-8-year-old-scotch-whisky/333070
Chivas Regal 12 Year Old Scotch Whisky,40.0%,750 mL ,,,$53.95,,http://www.lcbo.com/lcbo/product/chivas-regal-12-year-old-scotch-whisky/7617
The Macallan Amber,40.0%,750 mL ,,,$109.95,,http://www.lcbo.com/lcbo/product/the-macallan-amber/334078
Gibson's Finest Sterling Edition Whisky,40.0%,1140 mL ,,,$41.25,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215889
Grant's Family Reserve Scotch Whisky,40.0%,200 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/476382
Rittenhouse Straight Rye Whisky 100 Bond,50.0%,750 mL ,,,$46.95,,http://www.lcbo.com/lcbo/product/rittenhouse-straight-rye-whisky-100-bond/230813
Canadian Club Classic 12 Year Old,40.0%,1750 mL ,,,$61.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311944
Cardhu Single Malt Scotch,40.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/cardhu-single-malt-scotch/289496
Dillon's The White Rye,40.0%,750 mL ,,,$37.95,,http://www.lcbo.com/lcbo/product/dillon-s-the-white-rye/337600
Crown Royal Maple Finished,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/crown-royal-maple-finished/312801
Canadian Club Classic 12 Year Old,40.0%,1140 mL ,On sale!,$1.50,$40.15,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311936
Canadian Club Classic 12 Year Old,40.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311928
Dewar's White Label,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/dewar-s-white-label/217992
Canadian Club Classic 12 Year Old,40.0%,375 mL ,,,$16.95,,http://www.lcbo.com/lcbo/product/canadian-club-classic-12-year-old/311910
Wild Turkey 81 Proof Kentucky Straight Bourbon,40.5%,750 mL ,,,$32.75,,http://www.lcbo.com/lcbo/product/wild-turkey-81-proof-kentucky-straight-bourbon/281824
Alberta Premium Dark Horse Whisky,45.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/alberta-premium-dark-horse-whisky/298083
Johnnie Walker Red Label,40.0%,200 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label/217984
Forty Creek Copper Pot Reserve Whisky,43.0%,750 mL ,,,$31.95,,http://www.lcbo.com/lcbo/product/forty-creek-copper-pot-reserve-whisky/285254
Dalwhinnie 15 Year Old Scotch Whisky,43.0%,750 mL ,,,$94.95,,http://www.lcbo.com/lcbo/product/dalwhinnie-15-year-old-scotch-whisky/238097
Bowmore 12 Year Old Islay Single Malt,40.0%,750 mL ,,,$62.95,,http://www.lcbo.com/lcbo/product/bowmore-12-year-old-islay-single-malt/330803
Gibson's Finest Sterling Edition Whisky,40.0%,1750 mL ,,,$60.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/215038
The Macallan Sienna,43.0%,750 mL ,,,$189.95,,http://www.lcbo.com/lcbo/product/the-macallan-sienna/334086
Glen Breton Rare Canadian Single Malt Whisky,43.0%,750 mL ,On sale!,$5.00,$74.30,,http://www.lcbo.com/lcbo/product/glen-breton-rare-canadian-single-malt-whisky/601146
Jim Beam Black Kentucky Bourbon Aged 6 Years,43.0%,750 mL ,On sale!,$3.60,$28.35,,http://www.lcbo.com/lcbo/product/jim-beam-black-kentucky-bourbon-aged-6-years/324863
Aberfeldy 12 Year Old,40.0%,750 mL ,,,$60.80,,http://www.lcbo.com/lcbo/product/aberfeldy-12-year-old/255281
Talisker 10 Years Old Single Malt Scotch Whisky,45.8%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/talisker-10-years-old-single-malt-scotch-whisky/249680
Gibson's Finest Rare 12 Year Old Whisky,40.0%,750 mL ,,,$32.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/3558
Johnnie Walker 18 YO,40.0%,750 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-18-yo/292805
Jack Daniel's Tennessee Whiskey,40.0%,750 mL ,,,$34.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/41384
Ballantine's Blended Scotch Whisky,40.0%,375 mL ,,,$15.25,,http://www.lcbo.com/lcbo/product/ballantine-s-blended-scotch-whisky/5041
Seagrams 83 Whisky,40.0%,750 mL ,,,$26.70,,http://www.lcbo.com/lcbo/product/seagrams-83-whisky/305607
Glenmorangie Original Single Malt Scotch Whisky,40.0%,750 mL ,,,$72.10,,http://www.lcbo.com/lcbo/product/glenmorangie-original-single-malt-scotch-whisky/298638
Canadian Club Reserve,40.0%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/canadian-club-reserve/311977
The Macallan Gold,40.0%,750 mL ,,,$74.95,,http://www.lcbo.com/lcbo/product/the-macallan-gold/334060
Crown Royal,40.0%,1140 mL ,,,$41.95,,http://www.lcbo.com/lcbo/product/crown-royal/217950
Devil's Cut,45.0%,750 mL ,,,$29.95,,http://www.lcbo.com/lcbo/product/devil-s-cut/272161
Basil Hayden Kentucky Bourbon,40.0%,750 mL ,,,$53.95,,http://www.lcbo.com/lcbo/product/basil-hayden-kentucky-bourbon/326025
Crown Royal Black,45.0%,1140 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/crown-royal-black/276618
McClelland's Single Malt Highland Scotch,40.0%,750 mL ,,,$45.15,,http://www.lcbo.com/lcbo/product/mcclelland-s-single-malt-highland-scotch/259333
Hiram Walker Special Old Rye Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/hiram-walker-special-old-rye-whisky/226316
Baker's Kentucky Straight Bourbon Whiskey,53.5%,750 mL ,,,$69.95,,http://www.lcbo.com/lcbo/product/baker-s-kentucky-straight-bourbon-whiskey/253658
Johnnie Walker Black Label,40.0%,1140 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/johnnie-walker-black-label/217802
Grand Macnish,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/grand-macnish/217190
Gibson's Finest Rare 12 Year Old Whisky,40.0%,1140 mL ,,,$46.25,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/215871
Catto's Rare Old,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/catto-s-rare-old/215558
Canadian Club Premium,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/canadian-club-premium/217687
J & B Rare,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/j-b-rare/217646
Bell's Scotch,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/bell-s-scotch/217042
Jack Daniel's Tennessee Whiskey,40.0%,1140 mL ,,,$45.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616
Seagrams V.O. Whisky,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978
Jim Beam White Label Bourbon,40.0%,1140 mL ,,,$40.10,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786
Collingwood,40.0%,750 mL ,,,$35.95,,http://www.lcbo.com/lcbo/product/collingwood/244186
