title,alcohol,volume,sale,savings,price,inventory,link
Pelee Island Pinot Noir Reserve VQA,12.5%,750 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/pelee-island-pinot-noir-reserve-vqa/458521
Peller Family Vineyards Red,11.5%,4000 mL ,On sale!,$4.00,$32.95,,http://www.lcbo.com/lcbo/product/peller-family-vineyards-red/589069
Lindemans Bin 40 Merlot,13.5%,750 mL ,,,$11.95,,http://www.lcbo.com/lcbo/product/lindemans-bin-40-merlot/458679
Pelee Island Merlot,12.5%,750 mL ,,,$10.95,,http://www.lcbo.com/lcbo/product/pelee-island-merlot/470823
Bonterra Cabernet Sauvignon,12.09%,750 mL ,,,$21.95,,http://www.lcbo.com/lcbo/product/bonterra-cabernet-sauvignon/342428
Pasqua Sangiovese Puglia,12.0%,1500 mL ,,,$14.45,,http://www.lcbo.com/lcbo/product/pasqua-sangiovese-puglia/441428
Lindemans Cawarra Shiraz Cabernet,13.5%,750 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/lindemans-cawarra-shiraz-cabernet/251884
Rosemount Diamond Shiraz,13.5%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/rosemount-diamond-shiraz/302349
Pelee Island Ruggles Run Gamay Zweigelt VQA,12.5%,750 mL ,,,$13.45,,http://www.lcbo.com/lcbo/product/pelee-island-ruggles-run-gamay-zweigelt-vqa/216028
Errazuriz Max Reserva Cabernet Sauvignon,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/errazuriz-max-reserva-cabernet-sauvignon/335174
Catena Malbec,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/catena-malbec/478727
Brights Maria Christina Red,11.5%,4000 mL ,,,$36.95,,http://www.lcbo.com/lcbo/product/brights-maria-christina-red/86512
Santa Cristina Rosso Toscana IGT,13.0%,750 mL ,,,$15.10,,http://www.lcbo.com/lcbo/product/santa-cristina-rosso-toscana-igt/76521
Tedeschi Amarone della Valpolicella,15.4%,750 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/tedeschi-amarone-della-valpolicella/433417
Masi Costasera Amarone Classico DOC,15.0%,750 mL ,,,$44.95,,http://www.lcbo.com/lcbo/product/masi-costasera-amarone-classico-doc/317057
Wolf Blass Red Label Shiraz Cabernet Sauvignon,13.5%,750 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/wolf-blass-red-label-shiraz-cabernet-sauvignon/311795
Folonari Pinot Noir IGT,12.5%,750 mL ,On sale!,$2.00,$13.95,,http://www.lcbo.com/lcbo/product/folonari-pinot-noir-igt/32888
Peller Family Vineyards Red,11.5%,1500 mL ,On sale!,$1.50,$15.45,,http://www.lcbo.com/lcbo/product/peller-family-vineyards-red/322792
Featherstone Cabernet Franc 2016,12.3%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/featherstone-cabernet-franc-2016/64618
Torres Gran Coronas Reserva Cabernet Sauvignon,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/torres-gran-coronas-reserva-cabernet-sauvignon/36483
Henry Of Pelham Baco Noir VQA,13.0%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/henry-of-pelham-baco-noir-vqa/270926
Fonseca Periquita Red,13.0%,750 mL ,,,$9.00,,http://www.lcbo.com/lcbo/product/fonseca-periquita-red/25262
Calvet Reserve des Remparts Saint Emilion AOC,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/calvet-reserve-des-remparts-saint-emilion-aoc/31898
Bouchard Aine & Fils Beaujolais Superieur,12.5%,750 mL ,,,$12.95,,http://www.lcbo.com/lcbo/product/bouchard-aine-fils-beaujolais-superieur/9431
Concha y Toro Marques de Casa Concha Cabernet Sauvignon,13.5%,750 mL ,,,$22.95,,http://www.lcbo.com/lcbo/product/concha-y-toro-marques-de-casa-concha-cabernet-sauvignon/337238
Latour Pinot Noir,13.0%,750 mL ,,,$23.95,,http://www.lcbo.com/lcbo/product/latour-pinot-noir/69914
Bolla Valpolicella Classico,12.5%,750 mL ,On sale!,$2.00,$12.95,,http://www.lcbo.com/lcbo/product/bolla-valpolicella-classico/16840
KWV Roodeberg Red,14.0%,750 mL ,,,$12.95,,http://www.lcbo.com/lcbo/product/kwv-roodeberg-red/7187
Chateau de Gourgazaud Minervois AOC,13.5%,750 mL ,,,$14.10,,http://www.lcbo.com/lcbo/product/chateau-de-gourgazaud-minervois-aoc/22384
Ruffino Il Ducale Toscana IGP,13.5%,750 mL ,,,$19.95,,http://www.lcbo.com/lcbo/product/ruffino-il-ducale-toscana-igp/27797
Sogrape Mateus Signature Douro Red,13.5%,750 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/sogrape-mateus-signature-douro-red/308643
Yellow Tail Shiraz,13.5%,1500 mL ,,,$23.95,,http://www.lcbo.com/lcbo/product/yellow-tail-shiraz/20289
Jacob's Creek Shiraz Cabernet Sauvignon,13.9%,1500 mL ,,,$23.95,,http://www.lcbo.com/lcbo/product/jacob-s-creek-shiraz-cabernet-sauvignon/19612
Fontana Di Papa Red,12.0%,1500 mL ,,,$14.55,,http://www.lcbo.com/lcbo/product/fontana-di-papa-red/3038
Cantine Due Palme Canonico Negroamaro Salento IGP,12.5%,2000 mL ,,,$19.55,,http://www.lcbo.com/lcbo/product/cantine-due-palme-canonico-negroamaro-salento-igp/28647
20 Bees Cabernet Merlot VQA,12.2%,750 mL ,,,$12.95,,http://www.lcbo.com/lcbo/product/20-bees-cabernet-merlot-vqa/6395
Anselme La Fiole Du Pape Chateauneuf-Du-Pape AOC,14.0%,750 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/anselme-la-fiole-du-pape-chateauneuf-du-pape-aoc/12286
Folonari Valpolicella Classico DOC,12.5%,375 mL ,,,$9.95,,http://www.lcbo.com/lcbo/product/folonari-valpolicella-classico-doc/6254
Sogrape Grao Vasco Dao,13.0%,750 mL ,,,$8.75,,http://www.lcbo.com/lcbo/product/sogrape-grao-vasco-dao/14977
Velletri Le Contrade Red IGP,12.0%,2000 mL ,,,$18.95,,http://www.lcbo.com/lcbo/product/velletri-le-contrade-red-igp/14878
Domaine D'Or Superieur Red,12.0%,1500 mL ,,,$13.30,,http://www.lcbo.com/lcbo/product/domaine-d-or-superieur-red/193813
Ruffino Chianti,12.5%,750 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/ruffino-chianti/1743
Chateau Puyfromage Francs Cotes De Bordeaux AOC,14.0%,750 mL ,,,$16.90,,http://www.lcbo.com/lcbo/product/chateau-puyfromage-francs-cotes-de-bordeaux-aoc/33605
Peninsula Ridge Shiraz VQA,12.5%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/peninsula-ridge-shiraz-vqa/70052
Beronia Reserva,14.0%,750 mL ,,,$21.95,,http://www.lcbo.com/lcbo/product/beronia-reserva/50203
Peller Estates Family Series Cabernet Merlot VQA,13.0%,750 mL ,On sale!,$1.00,$11.95,,http://www.lcbo.com/lcbo/product/peller-estates-family-series-cabernet-merlot-vqa/58628
Woodbridge By Robert Mondavi Cabernet Sauvignon,13.5%,750 mL ,,,$13.95,,http://www.lcbo.com/lcbo/product/woodbridge-by-robert-mondavi-cabernet-sauvignon/48611
Fat Bastard Cabernet Sauvignon Pays D'OC,13.0%,750 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/fat-bastard-cabernet-sauvignon-pays-d-oc/28506
Wayne Gretzky Merlot VQA,12.8%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/wayne-gretzky-merlot-vqa/63966
Sterling Vintner's Collection Cabernet Sauvignon,13.5%,750 mL ,,,$16.95,,http://www.lcbo.com/lcbo/product/sterling-vintner-s-collection-cabernet-sauvignon/56366
Chanson Réserve du Bastion Pinot Noir,12.5%,750 mL ,,,$24.95,,http://www.lcbo.com/lcbo/product/chanson-reserve-du-bastion-pinot-noir/50575
Muga Reserva,13.0%,750 mL ,,,$26.95,,http://www.lcbo.com/lcbo/product/muga-reserva/177345
Sogrape Vila Regia Douro DO,13.5%,750 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/sogrape-vila-regia-douro-do/464388
Alianca Bairrada Reserva,13.5%,750 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/alianca-bairrada-reserva/158741
Trapiche Cabernet Sauvignon,12.5%,750 mL ,,,$10.95,,http://www.lcbo.com/lcbo/product/trapiche-cabernet-sauvignon/235671
Citra Montepulciano D'Abruzzo DOC,13.0%,750 mL ,,,$8.80,,http://www.lcbo.com/lcbo/product/citra-montepulciano-d-abruzzo-doc/446633
Peller Family Vineyards Cabernet Merlot,12.0%,4000 mL ,,,$42.95,,http://www.lcbo.com/lcbo/product/peller-family-vineyards-cabernet-merlot/589036
Alianca Foral Douro,13.5%,750 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/alianca-foral-douro/239046
Argento Seleccion Malbec,13.0%,750 mL ,,,$10.95,,http://www.lcbo.com/lcbo/product/argento-seleccion-malbec/591693
Casillero del Diablo Reserva Merlot,13.5%,750 mL ,,,$13.95,,http://www.lcbo.com/lcbo/product/casillero-del-diablo-reserva-merlot/427088
Wolf Blass Grey Label Shiraz,14.5%,750 mL ,,,$36.95,,http://www.lcbo.com/lcbo/product/wolf-blass-grey-label-shiraz/390872
Santa Carolina Reserva Cabernet Sauvignon,13.0%,375 mL ,,,$7.95,,http://www.lcbo.com/lcbo/product/santa-carolina-reserva-cabernet-sauvignon/389866
Robert Mondavi Private Selection Cabernet Sauvignon,13.5%,750 mL ,,,$18.45,,http://www.lcbo.com/lcbo/product/robert-mondavi-private-selection-cabernet-sauvignon/392225
Yvon Mau Merlot Pays d'Aude,12.5%,750 mL ,,,$10.95,,http://www.lcbo.com/lcbo/product/yvon-mau-merlot-pays-d-aude/336743
Inniskillin Pinot Noir VQA,12.2%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/inniskillin-pinot-noir-vqa/261099
L'Epayrie Special Reserve Rouge,12.0%,1500 mL ,,,$14.90,,http://www.lcbo.com/lcbo/product/l-epayrie-special-reserve-rouge/128520
"Candidato Oro Tempranillo Garnacha, Castilla VDT",13.0%,750 mL ,,,$8.95,,http://www.lcbo.com/lcbo/product/candidato-oro-tempranillo-garnacha-castilla-vdt/523811
Pelee Island Pinot Noir VQA,13.0%,750 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/pelee-island-pinot-noir-vqa/135939
Trius Cabernet Sauvignon VQA,13.0%,750 mL ,,,$15.95,,http://www.lcbo.com/lcbo/product/trius-cabernet-sauvignon-vqa/587956
Folonari Valpolicella Classico DOC,12.5%,750 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/folonari-valpolicella-classico-doc/828
"Castillo De Almansa Reserva, Almansa DO",14.0%,750 mL ,,,$12.95,,http://www.lcbo.com/lcbo/product/castillo-de-almansa-reserva-almansa-do/270363
Campo Viejo Rioja Reserva,13.5%,750 mL ,,,$18.45,,http://www.lcbo.com/lcbo/product/campo-viejo-rioja-reserva/137810
Dalton Safsufa Vineyards Cabernet Sauvignon KPM,13.5%,750 mL ,,,$25.95,,http://www.lcbo.com/lcbo/product/dalton-safsufa-vineyards-cabernet-sauvignon-kpm/28266
Masi Modello Merlot Trevenezie IGT,12.0%,1500 mL ,,,$24.05,,http://www.lcbo.com/lcbo/product/masi-modello-merlot-trevenezie-igt/27854
"Torres Sangre De Toro Garnacha, Catalunya DO",13.5%,750 mL ,On sale!,$3.00,$10.95,,http://www.lcbo.com/lcbo/product/torres-sangre-de-toro-garnacha-catalunya-do/6585
Santa Carolina Merlot,12.5%,1500 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/santa-carolina-merlot/504340
Chateau Timberlay Bordeaux Superieur AOC,13.5%,750 mL ,,,$16.95,,http://www.lcbo.com/lcbo/product/chateau-timberlay-bordeaux-superieur-aoc/30072
Fantini Farnese Sangiovese IGT,12.5%,1500 mL ,,,$14.95,,http://www.lcbo.com/lcbo/product/fantini-farnese-sangiovese-igt/31971
