title,alcohol,volume,sale,savings,price,inventory,link
Jim Beam White Label Bourbon,40.0%,1140 mL ,,,$39.95,,http://www.lcbo.com/lcbo/product/jim-beam-white-label-bourbon/217786
Wisers Special Blend Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/wisers-special-blend-whisky/216671
Gibson's Finest Rare 12 Year Old Whisky,40.0%,375 mL ,,,$17.95,,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667
Jack Daniel's Tennessee Whiskey,40.0%,1140 mL ,,,$45.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/215616
Forty Creek Barrel Select Whisky,40.0%,1750 mL ,,,$60.25,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/8805
Canadian Club Whisky,40.0%,375 mL ,,,$15.30,,http://www.lcbo.com/lcbo/product/canadian-club-whisky/463
Seagrams V.O. Whisky,40.0%,1140 mL ,,,$39.45,,http://www.lcbo.com/lcbo/product/seagrams-vo-whisky/216978
Bushmills Irish Whiskey,40.0%,750 mL ,,,$32.45,,http://www.lcbo.com/lcbo/product/bushmills-irish-whiskey/14910
Alberta Premium Whisky,40.0%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/alberta-premium-whisky/984
Crown Royal Whisky,40.0%,375 mL ,,,$16.45,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/9043
J.P. Wiser's Deluxe Whisky,40.0%,750 mL ,On sale!,$2.00,$26.25,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe-whisky/893
Teacher's Highland Cream Scotch Whisky,40.0%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/teacher-s-highland-cream-scotch-whisky/4465
Johnnie Walker Red Label Scotch Whisky,40.0%,375 mL ,,,$18.55,,http://www.lcbo.com/lcbo/product/johnnie-walker-red-label-scotch-whisky/3467
Grant's Sherry Cask Reserve Scotch Whisky,40.0%,750 mL ,,,$30.45,,http://www.lcbo.com/lcbo/product/grant-s-sherry-cask-reserve-scotch-whisky/15354
Silk Tassel Canadian Whisky,40.0%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/silk-tassel-canadian-whisky/620
Glenfiddich Single Malt 12 Year Old Scotch Whisky,40.0%,1140 mL ,,,$84.95,,http://www.lcbo.com/lcbo/product/glenfiddich-single-malt-12-year-old-scotch-whisky/605923
Forty Creek Barrel Select Whisky,40.0%,750 mL ,,,$28.45,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select-whisky/550715
Dun Bheagan Islay Single Malt Scotch Whisky,43.0%,750 mL ,,,$54.15,,http://www.lcbo.com/lcbo/product/dun-bheagan-islay-single-malt-scotch-whisky/576397
Forty Creek Barrel Select,40.0%,200 mL ,,,$8.75,,http://www.lcbo.com/lcbo/product/forty-creek-barrel-select/587816
J.P. Wiser's Deluxe,40.0%,3000 mL ,,,$132.95,,http://www.lcbo.com/lcbo/product/jp-wiser-s-deluxe/602730
Crown Royal Whisky,40.0%,3000 mL ,,,$134.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/529826
Redbreast 12 Years Old Irish Whiskey,40.0%,750 mL ,,,$79.95,,http://www.lcbo.com/lcbo/product/redbreast-12-years-old-irish-whiskey/636845
McClelland Speyside Single Malt Scotch Whisky,40.0%,750 mL ,,,$45.20,,http://www.lcbo.com/lcbo/product/mcclelland-speyside-single-malt-scotch-whisky/573337
Crown Royal Whisky,40.0%,1750 mL ,,,$60.95,,http://www.lcbo.com/lcbo/product/crown-royal-whisky/114694
Alberta Springs Whisky,40.0%,1750 mL ,,,$59.05,,http://www.lcbo.com/lcbo/product/alberta-springs-whisky/461434
Gentleman Jack Tennessee Whiskey,40.0%,750 mL ,,,$40.95,,http://www.lcbo.com/lcbo/product/gentleman-jack-tennessee-whiskey/377994
Chivas Regal 18 Year Old Scotch Whisky,40.0%,750 mL ,,,$99.95,,http://www.lcbo.com/lcbo/product/chivas-regal-18-year-old-scotch-whisky/582205
Dewar's White Label Scotch Whisky,40.0%,750 mL ,,,$26.25,,http://www.lcbo.com/lcbo/product/dewar-s-white-label-scotch-whisky/11130
Grant's Family Reserve Scotch Whisky,40.0%,1750 mL ,,,$60.00,,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/247056
Knob Creek Bourbon,50.0%,750 mL ,On sale!,$5.00,$41.95,,http://www.lcbo.com/lcbo/product/knob-creek-bourbon/326009
Jack Daniel's Tennessee Whiskey,40.0%,3000 mL ,,,$149.95,,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/517383
